geo,B051,B052,B081,B089,C101,C103,C104,C105,C106,C107,C108,C110,C131,C132,C133,C139,C141,C151,C152,C161,C162,C171,C172,C181,C182,C191,C201,C202,C203,C204,C205,C206,C211,C212,C221,C222,C231,C232,C233,C234,C235,C236,C237,C239,C241,C242,C243,C244,C245,C251,C252,C253,C254,C255,C256,C257,C259,C261,C262,C263,C264,C265,C266,C271,C272,C273,C274,C275,C279,C281,C282,C283,C284,C289,C291,C292,C293,C301,C303,C309,C310,C321,C322,C323,C324,C325,C329,C331,C332,D351,D352,D353,E360,E370,E381,E382,E383,E390,F411,F412,F421,F422,F429,F431,F432,F433,F439,G451,G452,G453,G454,G461,G462,G463,G464,G465,G466,G467,G469,G471,G472,G473,G474,G475,G476,G477,G478,G479,H492,H493,H494,H501,H502,H521,H522,I551,I559,I561,I562,I563,J581,J582,J591,J592,J601,J602,J611,J619,J620,J631,J639,L681,L682,L683,M691,M692,M701,M702,M711,M712,M721,M722,M731,M732,M742,M749,M750,N772,N773,N781,N782,N783,N791,N799,N801,N811,N812,N813,N821,N822,N823,N829,S951,S952,B061,B062,B071,C102,C109,C142,C143,I552,I553,M741,M743,N771,N802,N803,C120,C267,C302,C304,H504,H511,H512,N774,B091,C192,H491,H495,H503,H531,H532,J612,J613,B072,B099,C268
AT,0,0,4296,710,18013,4509,1070,5980,2857,33490,10874,10708,550,1988,500,5208,4173,2537,1488,11257,23229,7871,9692,10376,793,0,7143,371,2932,1988,2835,3454,6063,10555,2211,30077,9270,2201,1216,1376,1139,11776,3341,3317,22074,3751,2346,8756,6739,23929,3480,359,1678,7389,15312,20008,8228,10538,823,2094,297,7451,2563,25445,988,4080,6582,3782,8805,14641,30722,6478,7600,29966,19157,4419,15297,314,1357,3833,27547,1670,904,3399,2337,8665,1980,10930,11800,28547,1672,2190,1688,3643,10962,2665,2650,138,5297,69704,25280,6804,1508,11512,92129,65906,40253,42393,29566,12200,2255,17203,17850,30865,45596,9061,37313,44354,4757,129436,22981,12080,11605,56825,21968,118630,2359,10128,1966,55916,61906,0,0,2198,36875,109921,1235,169742,11740,13128,11121,3608,7677,1269,519,771,924,898,55049,21715,2194,2956,25107,21628,27394,40726,5508,30750,63951,5139,8015,708,30770,1952,3918,6312,5770,3390,4308,3596,78930,14853,10489,1512,13940,16321,72625,8349,2075,4788,3954,9001,812,2943,0,0,0,164,2781,78,811,7564,1081,2979,1926,2715,174,749,0,1276,0,0,81,8943,90,288,106,2004,3179,445,451,0,0,13602,21,0,41,0
BE,0,0,2488,170,13830,11003,2020,8179,3236,27121,18612,12384,551,2492,958,10794,2976,272,218,1623,9763,2814,8216,12727,155,0,27191,1252,4219,4916,6124,2456,599,27800,1934,21504,7703,221,1908,548,4040,10860,2347,853,12566,725,2955,8292,2246,20023,2758,1471,2634,2354,14057,2605,5606,2746,586,1380,0,2982,1041,3357,956,3875,2846,718,2875,8022,9473,5510,1441,6676,16064,5691,7994,97,5751,434,12366,1282,196,37,679,6027,1173,11807,9330,30753,215,32,7014,2601,4285,5095,4562,1166,9663,70977,17910,10836,7669,13879,77272,66588,44767,47263,21961,14167,2015,18878,6174,39327,64215,9426,45568,57484,2737,115805,31826,5065,8229,43152,14724,106056,5269,8043,939,19062,62272,102,1166,17845,37968,18359,223,115080,21504,25857,11996,1274,7678,1301,340,1213,18114,3518,89338,5955,2200,9568,38792,28586,38468,33234,41508,89388,52649,12667,11143,825,16539,5221,3840,3455,6075,3855,8044,24336,163808,21117,9885,1220,17755,3102,133002,24181,17177,4280,4082,16853,1420,3441,0,0,0,1292,4470,33,88,5513,851,7041,3490,3529,1328,101,1146,233,472,0,550,4544,1292,351,10,5843,31662,950,159,0,0,1913,23,0,20,8
BG,64,9661,4173,497,17146,7884,2611,8612,3409,28335,10760,13157,4119,653,359,7624,79290,2727,9727,6295,10102,1544,8233,9781,63,0,4395,451,1787,5604,1883,465,12,8197,5878,25618,6029,447,2301,1782,1400,6203,1970,1812,1550,2113,849,5567,3497,12059,1557,147,20165,225,12405,2728,11887,3738,275,1294,622,2204,470,10130,1114,3672,1316,4763,6299,13562,11741,1057,2305,6870,0,281,23556,1201,121,2045,23839,994,173,2377,2843,2571,2619,16061,2033,27851,922,3089,16572,338,9444,3103,2163,1173,1427,62605,18287,7514,9525,3694,16299,17971,13752,11753,20382,18342,347,5655,8912,42440,34653,3982,13457,35656,17428,113372,24782,14180,6587,30252,9194,86707,3794,11949,4340,30596,73947,169,490,1040,33020,43221,1184,68931,6229,28883,4756,1038,5112,551,436,2469,4687,1672,59415,7577,5175,2758,25606,10695,3687,30024,722,14288,18421,3720,3861,108,9700,3594,1589,18492,1622,243,1977,1156,4538,8028,6104,558,46454,3273,10793,2105,2531,8728,708,9635,1730,4033,0,51,0,1624,2096,51,7501,1368,98,1812,2237,2880,7836,134,1631,1962,2100,0,584,1882,385,518,18,2630,8846,0,329,0,0,12084,0,6634,582,62
CH,0,0,4113,211,15731,3325,697,13528,1051,28516,20876,5995,431,1644,944,3552,3368,1009,781,4252,31715,1191,5949,16415,213,0,8248,1478,4988,4975,9465,453,10014,36898,1598,21723,4562,59,779,1160,1037,5963,1721,2562,1565,2310,1463,3723,3882,17126,966,314,1341,3217,37489,9671,9783,22575,1349,2326,291,67400,11036,10136,566,4385,1681,4653,9425,18015,25716,999,13092,21089,1300,1159,2193,439,6220,1126,9321,2286,99,582,504,15688,3453,12673,2066,28281,1015,590,1679,3261,3459,2820,3852,189,695,83288,14916,3038,2123,3500,112593,49568,53612,6546,58706,8808,1767,1193,5680,30334,62923,13137,31960,51903,4233,132987,12467,6278,8724,30321,18731,78758,241,5456,3979,36812,38788,560,973,4615,34061,64083,106,107779,21337,7914,13202,307,5400,464,1106,8253,22656,1407,81652,9468,1037,3961,9842,30227,13739,46921,29533,49916,99944,6977,15253,719,15155,2019,601,4802,4786,1990,4523,5734,114208,6258,10819,3996,20152,13042,56586,24265,1569,3457,3858,6105,1077,1697,28,0,0,479,1333,0,258,1426,444,8202,638,1774,1267,15,2072,4812,4962,0,581,11125,778,1236,123,653,33741,125,2068,30207,8427,3514,239,0,3,61
CY,0,0,0,0,1505,802,0,2288,301,6530,713,948,0,0,52,486,344,15,35,14,2196,0,580,0,0,0,0,53,209,210,0,0,0,1240,11,984,311,11,108,43,239,957,532,16,0,39,0,383,0,2956,49,0,23,0,228,75,665,0,0,0,0,0,0,158,0,0,90,157,0,0,379,83,0,77,0,85,87,26,0,0,1033,396,6,0,64,180,127,2460,67,2129,0,0,360,384,289,95,507,0,1491,12098,777,234,245,1181,6421,3253,5069,1897,4680,1750,194,1351,425,7261,6134,1009,2011,4390,1363,13146,2383,1589,1593,5188,1566,12664,89,1023,0,3491,2123,260,50,275,11182,21926,20,19013,1272,7195,599,780,492,17,221,647,2241,1178,5216,383,152,172,560,2006,5022,9153,1609,5742,3169,551,0,0,1823,359,463,705,341,139,448,373,379,1114,1813,162,1890,197,2699,591,765,215,257,1096,262,360,0,0,0,0,375,0,18,655,43,553,264,978,37,10,0,0,0,0,0,444,0,162,0,38,0,0,0,641,1244,182,122,0,0,0
CZ,0,0,5254,249,23303,3571,874,8982,3253,35032,18741,16986,1990,5417,586,17301,24020,3131,2036,7520,45722,3687,17736,21344,2554,0,17466,739,2438,4994,5713,879,1454,9314,23572,71630,23863,3574,3360,5540,1416,14484,2518,3634,17594,4639,3764,4251,14610,32584,8892,1782,4539,8996,54870,50835,34239,8410,5873,6129,3727,20202,426,53283,1388,10480,15631,6667,20855,31674,46974,8624,12134,33121,42892,3626,134969,355,9177,3691,24931,5033,1281,3405,7180,16701,9433,36291,15537,25925,2321,11207,18729,1373,25847,3255,5632,740,2182,87266,31723,23270,2293,60232,63435,59694,45898,25133,49727,14936,1148,37638,6702,34452,56275,11601,31569,69006,22463,155884,17067,11934,5113,42065,15679,81558,2081,22790,10334,41172,131284,2,0,14954,37785,31568,2523,120158,15334,7432,11698,5511,3504,1061,146,1176,6792,807,86209,14192,1321,322,33698,25148,24509,52764,10070,18411,65622,16510,11962,64,30647,3294,3680,39035,4245,2565,5305,16235,84882,8130,11558,1985,40856,4054,36733,4917,8443,8398,1997,14173,5946,7603,0,0,0,753,5674,178,1966,3533,339,2992,6679,2161,3193,279,0,3129,10306,846,297,2446,22,267,642,0,0,0,342,33054,5063,14174,236,0,1622,114
DE,0,0,27715,4750,233019,36114,4962,47571,18318,412024,127193,82444,3295,9852,13171,55383,35970,7937,12061,27605,110457,40417,120249,149032,2887,0,202917,3619,47587,58149,56410,8386,5262,152511,91905,383945,64966,5941,15664,21651,17368,73328,26826,28576,85566,29010,19803,68913,82072,211079,31092,3978,14393,131593,301747,151012,147792,85577,21392,26598,14274,196673,14602,191245,10178,85370,32495,52805,147514,428833,363204,45705,128870,311034,576606,52520,289876,23832,82864,10395,144573,13916,8207,9181,16161,221733,33549,145708,107925,338326,25344,11804,40841,45868,100411,54758,40538,5901,34921,304265,128769,76952,51820,47464,866660,621739,342353,434446,287169,140878,21258,93671,66307,361703,454045,142656,313902,481203,65185,1068382,311023,67956,106226,446157,149005,1213180,25252,274753,26885,495227,452752,4444,18135,85985,649864,534128,7841,1358075,299551,249141,234888,17155,68998,10549,8898,42443,129269,28846,838435,81651,38745,25130,293653,232015,306630,446365,214171,273005,660487,119229,186707,13642,218155,20456,27755,99105,57966,40682,75678,47215,753640,126271,98470,16815,224294,153759,1184454,211820,21146,98226,60806,373931,10078,36922,0,3927,0,7988,23241,0,0,60806,13980,57586,16447,41621,12955,5329,11245,29859,28796,4291,3701,58865,5913,2778,1661,0,19895,3333,6453,0,545636,21593,673,0,387,440
DK,0,0,687,329,14442,1624,539,0,1182,15230,6270,3422,30,121,152,3258,1621,398,69,1138,6871,186,4703,0,0,0,4159,0,1112,1720,3849,0,1767,29542,829,11911,1601,0,872,286,0,7765,384,3280,0,1151,0,1085,1714,10614,980,1440,0,1424,11746,2375,8001,1136,689,1481,1175,7800,4084,4929,0,2127,1286,504,1328,29215,16914,3321,1078,11905,684,1490,2172,1215,445,734,10030,1072,181,200,0,6037,1064,10284,1838,7811,941,1886,2198,1950,3253,2268,1587,114,2023,24581,4602,10076,2003,5919,50385,55691,28234,27449,18811,7011,729,6220,4342,23379,47803,11822,31322,37591,8186,116059,11064,7119,1837,27836,12814,60891,783,9408,0,28509,32059,6374,10853,2421,28337,21190,129,79795,14248,20351,17443,6444,8715,1232,327,3121,8169,3531,58055,7947,1034,1511,40997,18641,12639,22025,16040,22168,44157,4618,10146,301,11985,2007,2554,7344,3863,1065,6006,1594,45781,2828,4805,869,4296,8610,49158,6340,7421,4575,3321,8437,969,3553,699,0,0,3546,2667,100,104,1731,936,7316,3532,2009,2588,237,333,540,57,0,25,7150,1057,408,2093,0,6622,4,132,0,0,5092,0,0,19,0
EE,0,0,721,808,2858,656,74,2087,115,3025,2952,1430,253,59,148,3820,5133,399,612,5342,12381,448,885,3021,0,0,931,0,665,584,149,0,0,344,658,3472,1210,0,0,131,0,2437,545,27,0,370,10,125,94,6518,253,0,0,325,3105,384,2428,2224,114,2602,128,520,291,4303,17,552,487,36,914,136,2094,593,160,1120,64,909,1898,805,0,0,7915,185,0,314,38,976,751,5136,610,3365,246,1339,1180,112,1162,453,641,37,410,18655,3933,3308,1189,1773,9631,5072,6183,4389,5268,3035,212,830,697,5561,5606,1223,4927,8663,2950,21366,1234,2079,930,6577,2106,11908,902,3294,1256,3761,16709,766,138,1888,11178,5984,14,15018,1880,972,2803,301,1313,125,113,165,2179,944,14267,2430,652,966,7459,4077,1828,6204,993,4579,5519,1192,970,90,3107,442,436,1551,445,439,2127,314,7068,2412,1204,677,5204,396,10119,1032,555,1440,226,1822,363,539,2637,0,0,1313,256,24,336,1127,5,1441,978,846,575,0,0,26,0,0,0,0,0,82,0,1293,441,0,0,0,0,2855,0,0,33,0
EL,0,443,4372,712,10900,16396,6297,11985,3544,59833,12119,9208,1482,397,1318,6415,15250,1413,2050,1265,5935,933,7912,9787,239,10,2742,665,2171,4765,1524,27,1053,9058,612,11914,1233,237,676,953,1852,5295,5061,1485,2135,781,660,5970,823,17395,731,124,576,635,3224,2459,6074,492,232,525,84,1458,50,2071,897,1362,1552,1843,435,977,4622,1359,1487,2628,394,637,934,2416,1622,271,12721,3999,149,451,304,3901,1497,13523,1882,29988,385,917,8777,995,3484,1678,2066,259,577,40503,13299,6633,8807,10576,35148,19457,13178,13074,32106,17931,5312,20212,7641,65920,66536,9723,23953,42825,2691,131655,58756,18357,11731,46888,19726,137292,10099,8116,34,61394,36542,10575,8241,2918,42584,122236,928,244708,12495,174426,10311,1880,10290,566,2781,5508,12363,3625,25270,5057,1928,4038,7996,6828,45097,41614,1253,37112,65846,4137,11995,3498,13138,3060,5311,3133,2653,4141,4345,739,15448,4991,21337,672,24224,1020,33926,2204,3649,6262,4424,5207,1569,8496,76,0,3,1469,2378,2481,580,40883,4820,1054,1932,6238,1060,234,2727,150,7,0,39,3708,243,141,337,5153,0,30,68,6701,8680,6905,253,1440,32,14
